Team,Points For,Opposing Team,Points Against,Win,Loss,Week,Year,Matchup Type
Team Dupre,107.1,Team Chasse,131.26,0,1,1,2021,Regular Season
Team Chasse,131.26,Team Dupre,107.1,1,0,1,2021,Regular Season
Team Perrotti,128.56,Team Pawlowicz,136.66,0,1,1,2021,Regular Season
Team Pawlowicz,136.66,Team Perrotti,128.56,1,0,1,2021,Regular Season
Team Sachs,134.78,Team Loomis,102.02,1,0,1,2021,Regular Season
Team Loomis,102.02,Team Sachs,134.78,0,1,1,2021,Regular Season
Team Acquarulo,96.6,Team Piazza,115.58,0,1,1,2021,Regular Season
Team Piazza,115.58,Team Acquarulo,96.6,1,0,1,2021,Regular Season
Team Shamas,158.16,Team Graver,94.68,1,0,1,2021,Regular Season
Team Graver,94.68,Team Shamas,158.16,0,1,1,2021,Regular Season
Team Chasse,179.64,Team Acquarulo,110.56,1,0,2,2021,Regular Season
Team Acquarulo,110.56,Team Chasse,179.64,0,1,2,2021,Regular Season
Team Sachs,174.92,Team Perrotti,111.1,1,0,2,2021,Regular Season
Team Perrotti,111.1,Team Sachs,174.92,0,1,2,2021,Regular Season
Team Dupre,145.26,Team Shamas,154.4,0,1,2,2021,Regular Season
Team Shamas,154.4,Team Dupre,145.26,1,0,2,2021,Regular Season
Team Pawlowicz,95.48,Team Piazza,91.12,1,0,2,2021,Regular Season
Team Piazza,91.12,Team Pawlowicz,95.48,0,1,2,2021,Regular Season
Team Loomis,101.6,Team Graver,136.02,0,1,2,2021,Regular Season
Team Graver,136.02,Team Loomis,101.6,1,0,2,2021,Regular Season
Team Pawlowicz,118.72,Team Chasse,126.48,0,1,3,2021,Regular Season
Team Chasse,126.48,Team Pawlowicz,118.72,1,0,3,2021,Regular Season
Team Shamas,119.22,Team Acquarulo,153.74,0,1,3,2021,Regular Season
Team Acquarulo,153.74,Team Shamas,119.22,1,0,3,2021,Regular Season
Team Piazza,145.7,Team Perrotti,118.74,1,0,3,2021,Regular Season
Team Perrotti,118.74,Team Piazza,145.7,0,1,3,2021,Regular Season
Team Graver,122.94,Team Sachs,124.94,0,1,3,2021,Regular Season
Team Sachs,124.94,Team Graver,122.94,1,0,3,2021,Regular Season
Team Loomis,124.64,Team Dupre,118.52,1,0,3,2021,Regular Season
Team Dupre,118.52,Team Loomis,124.64,0,1,3,2021,Regular Season
Team Perrotti,112.02,Team Chasse,103.76,1,0,4,2021,Regular Season
Team Chasse,103.76,Team Perrotti,112.02,0,1,4,2021,Regular Season
Team Graver,156.78,Team Piazza,131.02,1,0,4,2021,Regular Season
Team Piazza,131.02,Team Graver,156.78,0,1,4,2021,Regular Season
Team Acquarulo,155.18,Team Pawlowicz,128.72,1,0,4,2021,Regular Season
Team Pawlowicz,128.72,Team Acquarulo,155.18,0,1,4,2021,Regular Season
Team Shamas,103.06,Team Loomis,89.22,1,0,4,2021,Regular Season
Team Loomis,89.22,Team Shamas,103.06,0,1,4,2021,Regular Season
Team Sachs,98.8,Team Dupre,123.32,0,1,4,2021,Regular Season
Team Dupre,123.32,Team Sachs,98.8,1,0,4,2021,Regular Season
Team Chasse,167.74,Team Piazza,193.58,0,1,5,2021,Regular Season
Team Piazza,193.58,Team Chasse,167.74,1,0,5,2021,Regular Season
Team Loomis,95.16,Team Pawlowicz,125.76,0,1,5,2021,Regular Season
Team Pawlowicz,125.76,Team Loomis,95.16,1,0,5,2021,Regular Season
Team Dupre,142.6,Team Graver,156.32,0,1,5,2021,Regular Season
Team Graver,156.32,Team Dupre,142.6,1,0,5,2021,Regular Season
Team Perrotti,138.58,Team Acquarulo,80.72,1,0,5,2021,Regular Season
Team Acquarulo,80.72,Team Perrotti,138.58,0,1,5,2021,Regular Season
Team Sachs,140.5,Team Shamas,139.28,1,0,5,2021,Regular Season
Team Shamas,139.28,Team Sachs,140.5,0,1,5,2021,Regular Season
Team Chasse,154.48,Team Loomis,96.1,1,0,6,2021,Regular Season
Team Loomis,96.1,Team Chasse,154.48,0,1,6,2021,Regular Season
Team Perrotti,116.7,Team Dupre,108.92,1,0,6,2021,Regular Season
Team Dupre,108.92,Team Perrotti,116.7,0,1,6,2021,Regular Season
Team Acquarulo,139.7,Team Sachs,126.44,1,0,6,2021,Regular Season
Team Sachs,126.44,Team Acquarulo,139.7,0,1,6,2021,Regular Season
Team Piazza,143.68,Team Shamas,143.68,0,0,6,2021,Regular Season
Team Shamas,143.68,Team Piazza,143.68,0,0,6,2021,Regular Season
Team Pawlowicz,105.66,Team Graver,131.6,0,1,6,2021,Regular Season
Team Graver,131.6,Team Pawlowicz,105.66,1,0,6,2021,Regular Season
Team Graver,117.72,Team Chasse,133.74,0,1,7,2021,Regular Season
Team Chasse,133.74,Team Graver,117.72,1,0,7,2021,Regular Season
Team Dupre,136.44,Team Acquarulo,141.84,0,1,7,2021,Regular Season
Team Acquarulo,141.84,Team Dupre,136.44,1,0,7,2021,Regular Season
Team Sachs,176.86,Team Piazza,120.24,1,0,7,2021,Regular Season
Team Piazza,120.24,Team Sachs,176.86,0,1,7,2021,Regular Season
Team Shamas,113.44,Team Pawlowicz,122.44,0,1,7,2021,Regular Season
Team Pawlowicz,122.44,Team Shamas,113.44,1,0,7,2021,Regular Season
Team Loomis,116.56,Team Perrotti,128.5,0,1,7,2021,Regular Season
Team Perrotti,128.5,Team Loomis,116.56,1,0,7,2021,Regular Season
Team Chasse,109.4,Team Shamas,136.58,0,1,8,2021,Regular Season
Team Shamas,136.58,Team Chasse,109.4,1,0,8,2021,Regular Season
Team Piazza,81.2,Team Dupre,122.36,0,1,8,2021,Regular Season
Team Dupre,122.36,Team Piazza,81.2,1,0,8,2021,Regular Season
Team Pawlowicz,82.46,Team Sachs,134.8,0,1,8,2021,Regular Season
Team Sachs,134.8,Team Pawlowicz,82.46,1,0,8,2021,Regular Season
Team Perrotti,133.7,Team Graver,120.52,1,0,8,2021,Regular Season
Team Graver,120.52,Team Perrotti,133.7,0,1,8,2021,Regular Season
Team Acquarulo,86.82,Team Loomis,107.62,0,1,8,2021,Regular Season
Team Loomis,107.62,Team Acquarulo,86.82,1,0,8,2021,Regular Season
Team Piazza,123.76,Team Chasse,128.74,0,1,9,2021,Regular Season
Team Chasse,128.74,Team Piazza,123.76,1,0,9,2021,Regular Season
Team Dupre,113.66,Team Pawlowicz,65.48,1,0,9,2021,Regular Season
Team Pawlowicz,65.48,Team Dupre,113.66,0,1,9,2021,Regular Season
Team Loomis,145.58,Team Sachs,114.06,1,0,9,2021,Regular Season
Team Sachs,114.06,Team Loomis,145.58,0,1,9,2021,Regular Season
Team Acquarulo,90.78,Team Perrotti,100.18,0,1,9,2021,Regular Season
Team Perrotti,100.18,Team Acquarulo,90.78,1,0,9,2021,Regular Season
Team Graver,122.14,Team Shamas,78.3,1,0,9,2021,Regular Season
Team Shamas,78.3,Team Graver,122.14,0,1,9,2021,Regular Season
Team Sachs,97.62,Team Chasse,104.92,0,1,10,2021,Regular Season
Team Chasse,104.92,Team Sachs,97.62,1,0,10,2021,Regular Season
Team Pawlowicz,124.54,Team Perrotti,119.24,1,0,10,2021,Regular Season
Team Perrotti,119.24,Team Pawlowicz,124.54,0,1,10,2021,Regular Season
Team Shamas,133.64,Team Dupre,88.84,1,0,10,2021,Regular Season
Team Dupre,88.84,Team Shamas,133.64,0,1,10,2021,Regular Season
Team Piazza,142.14,Team Acquarulo,123.82,1,0,10,2021,Regular Season
Team Acquarulo,123.82,Team Piazza,142.14,0,1,10,2021,Regular Season
Team Graver,115.56,Team Loomis,107.2,1,0,10,2021,Regular Season
Team Loomis,107.2,Team Graver,115.56,0,1,10,2021,Regular Season
Team Acquarulo,120.38,Team Chasse,126.08,0,1,11,2021,Regular Season
Team Chasse,126.08,Team Acquarulo,120.38,1,0,11,2021,Regular Season
Team Shamas,124.92,Team Perrotti,134.24,0,1,11,2021,Regular Season
Team Perrotti,134.24,Team Shamas,124.92,1,0,11,2021,Regular Season
Team Sachs,92.66,Team Graver,168.38,0,1,11,2021,Regular Season
Team Graver,168.38,Team Sachs,92.66,1,0,11,2021,Regular Season
Team Piazza,146.2,Team Pawlowicz,85.68,1,0,11,2021,Regular Season
Team Pawlowicz,85.68,Team Piazza,146.2,0,1,11,2021,Regular Season
Team Dupre,86.46,Team Loomis,154.9,0,1,11,2021,Regular Season
Team Loomis,154.9,Team Dupre,86.46,1,0,11,2021,Regular Season
Team Chasse,104.94,Team Pawlowicz,99.4,1,0,12,2021,Regular Season
Team Pawlowicz,99.4,Team Chasse,104.94,0,1,12,2021,Regular Season
Team Graver,117.98,Team Acquarulo,68.66,1,0,12,2021,Regular Season
Team Acquarulo,68.66,Team Graver,117.98,0,1,12,2021,Regular Season
Team Perrotti,138.8,Team Piazza,114.82,1,0,12,2021,Regular Season
Team Piazza,114.82,Team Perrotti,138.8,0,1,12,2021,Regular Season
Team Loomis,128.18,Team Shamas,142.38,0,1,12,2021,Regular Season
Team Shamas,142.38,Team Loomis,128.18,1,0,12,2021,Regular Season
Team Dupre,124.6,Team Sachs,97.2,1,0,12,2021,Regular Season
Team Sachs,97.2,Team Dupre,124.6,0,1,12,2021,Regular Season
Team Chasse,107.1,Team Perrotti,139.82,0,1,13,2021,Regular Season
Team Perrotti,139.82,Team Chasse,107.1,1,0,13,2021,Regular Season
Team Loomis,125.24,Team Piazza,87.96,1,0,13,2021,Regular Season
Team Piazza,87.96,Team Loomis,125.24,0,1,13,2021,Regular Season
Team Pawlowicz,120.42,Team Acquarulo,88.36,1,0,13,2021,Regular Season
Team Acquarulo,88.36,Team Pawlowicz,120.42,0,1,13,2021,Regular Season
Team Graver,192.28,Team Dupre,68.3,1,0,13,2021,Regular Season
Team Dupre,68.3,Team Graver,192.28,0,1,13,2021,Regular Season
Team Shamas,159.92,Team Sachs,133.32,1,0,13,2021,Regular Season
Team Sachs,133.32,Team Shamas,159.92,0,1,13,2021,Regular Season
Team Chasse,106.28,Team Dupre,90.02,1,0,14,2021,Regular Season
