Player Name,Fantasy Team,POS,TEAM,SLOT,PROJ,FPTS,Week,Year
Josh Allen,Team Dupre,QB,,QB,,17.2,1,2021
Nick Chubb,Team Dupre,RB,,RB,,22.1,1,2021
Chase Edmonds,Team Dupre,RB,,RB,,14.6,1,2021
Calvin Ridley,Team Dupre,WR,,WR,,10.1,1,2021
Terry McLaurin,Team Dupre,WR,,WR,,10.2,1,2021
Kyle Pitts,Team Dupre,TE,,TE,,7.1,1,2021
Tee Higgins,Team Dupre,WR,,FLEX,,15.8,1,2021
Bills,Team Dupre,D/ST,,D/ST,,4,1,2021
Younghoe Koo,Team Dupre,K,,K,,6,1,2021
Tom Brady,Team Chasse,QB,,QB,,27.16,1,2021
Derrick Henry,Team Chasse,RB,,RB,,10.7,1,2021
Najee Harris,Team Chasse,RB,,RB,,5.9,1,2021
A.J. Brown,Team Chasse,WR,,WR,,14.9,1,2021
Amari Cooper,Team Chasse,WR,,WR,,38.9,1,2021
Noah Fant,Team Chasse,TE,,TE,,12.2,1,2021
Chris Godwin,Team Chasse,WR,,FLEX,,23.5,1,2021
Buccaneers,Team Chasse,D/ST,,D/ST,,-3,1,2021
Graham Gano,Team Chasse,K,,K,,1,1,2021
Kyler Murray,Team Perrotti,QB,,QB,,33.56,1,2021
Christian McCaffrey,Team Perrotti,RB,,RB,,27.7,1,2021
Miles Sanders,Team Perrotti,RB,,RB,,17.3,1,2021
DK Metcalf,Team Perrotti,WR,,WR,,16,1,2021
Jerry Jeudy,Team Perrotti,WR,,WR,,13.2,1,2021
George Kittle,Team Perrotti,TE,,TE,,11.8,1,2021
Raheem Mostert,Team Perrotti,RB,,FLEX,,2,1,2021
Dolphins,Team Perrotti,D/ST,,D/ST,,5,1,2021
Josh Lambo,Team Perrotti,K,,K,,2,1,2021
Ryan Tannehill,Team Sachs,QB,,QB,,14.18,1,2021
Austin Ekeler,Team Sachs,RB,,RB,,11.7,1,2021
Aaron Jones,Team Sachs,RB,,RB,,4.2,1,2021
CeeDee Lamb,Team Sachs,WR,,WR,,23.4,1,2021
Cooper Kupp,Team Sachs,WR,,WR,,23.8,1,2021
T.J. Hockenson,Team Sachs,TE,,TE,,25.7,1,2021
David Montgomery,Team Sachs,RB,,FLEX,,18.8,1,2021
Giants,Team Sachs,D/ST,,D/ST,,1,1,2021
Matt Gay,Team Sachs,K,,K,,12,1,2021
Lamar Jackson,Team Acquarulo,QB,,QB,,18,1,2021
Dalvin Cook,Team Acquarulo,RB,,RB,,20.4,1,2021
James Robinson,Team Acquarulo,RB,,RB,,8.4,1,2021
Stefon Diggs,Team Acquarulo,WR,,WR,,15.9,1,2021
Julio Jones,Team Acquarulo,WR,,WR,,5.9,1,2021
Logan Thomas,Team Acquarulo,TE,,TE,,12,1,2021
Brandon Aiyuk,Team Acquarulo,WR,,FLEX,,0,1,2021
49ers,Team Acquarulo,D/ST,,D/ST,,7,1,2021
Brandon McManus,Team Acquarulo,K,,K,,9,1,2021
Jalen Hurts,Team Shamas,QB,,QB,,28.76,1,2021
Saquon Barkley,Team Shamas,RB,,RB,,3.7,1,2021
Joe Mixon,Team Shamas,RB,,RB,,25,1,2021
Allen Robinson,Team Shamas,WR,,WR,,9.5,1,2021
Adam Thielen,Team Shamas,WR,,WR,,30.2,1,2021
Travis Kelce,Team Shamas,TE,,TE,,25.6,1,2021
D'Andre Swift,Team Shamas,RB,,FLEX,,24.4,1,2021
Broncos,Team Shamas,D/ST,,D/ST,,7,1,2021
Jason Myers,Team Shamas,K,,K,,4,1,2021
Dak Prescott,Team Pawlowicz,QB,,QB,,27.42,1,2021
Antonio Gibson,Team Pawlowicz,RB,,RB,,11.8,1,2021
Empty,Team Pawlowicz,RB,,RB,,0,1,2021
Tyreek Hill,Team Pawlowicz,WR,,WR,,37.1,1,2021
Tyler Lockett,Team Pawlowicz,WR,,WR,,26,1,2021
Robert Tonyan,Team Pawlowicz,TE,,TE,,2.8,1,2021
Justin Jefferson,Team Pawlowicz,WR,,FLEX,,12.54,1,2021
Steelers,Team Pawlowicz,D/ST,,D/ST,,13,1,2021
Jason Sanders,Team Pawlowicz,K,,K,,6,1,2021
Aaron Rodgers,Team Loomis,QB,,QB,,1.32,1,2021
Alvin Kamara,Team Loomis,RB,,RB,,18.1,1,2021
Chris Carson,Team Loomis,RB,,RB,,12.7,1,2021
DeAndre Hopkins,Team Loomis,WR,,WR,,26.3,1,2021
Keenan Allen,Team Loomis,WR,,WR,,19,1,2021
Mike Gesicki,Team Loomis,TE,,TE,,0,1,2021
Henry Ruggs III,Team Loomis,WR,,FLEX,,6.6,1,2021
Rams,Team Loomis,D/ST,,D/ST,,8,1,2021
Harrison Butker,Team Loomis,K,,K,,10,1,2021
Patrick Mahomes,Team Piazza,QB,,QB,,33.28,1,2021
Jonathan Taylor,Team Piazza,RB,,RB,,17.6,1,2021
Kareem Hunt,Team Piazza,RB,,RB,,17.1,1,2021
Davante Adams,Team Piazza,WR,,WR,,10.6,1,2021
Robert Woods,Team Piazza,WR,,WR,,12.4,1,2021
Mark Andrews,Team Piazza,TE,,TE,,5,1,2021
Alex Collins,Team Shamas,RB,,FLEX,,9.2,5,2021
Commanders,Team Piazza,D/ST,,D/ST,,1,1,2021
Justin Tucker,Team Piazza,K,,K,,11,1,2021
